Intersection,Longitude,Latitude,number_of_approaches,number_of_exits,max_number_of_lanes_in_approach,min_number_of_lanes_in_approach,number_of_railway_approaches,number_of_railway_exits,max_number_of_lanes_in_exit,min_number_of_lanes_in_exit,number_of_center_bicycle_approaches,number_of_right_side_bicycle_approaches,number_of_center_bicycle_exits,number_of_right_side_bicycle_exits,signal_present,pedestrian_signal_present,diameter,max_angle,max_curvature,min_curvature,distance_to_next_intersection,shortest_distance_to_railway_crossing,subway_station_present,number_of_tram/train_stops,number_of_bus/trolley_stops,stop_sign,approach_street_types,exit_street_types,approach_max_speed_limit,approach_min_speed_limit,exit_max_speed_limit,exit_min_speed_limit,oneway_approach_count,twoway_approach_count,singleway_approach_count,oneway_exit_count,twoway_exit_count,singleway_exit_count
"('26th Street', 'York Street')",-122.4079073,37.7496631,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.7033324,90.48451809,0.221103358,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Anza Street')",-122.4867537,37.7780757,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4822746,90.03259671,3.83E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Balboa Street')",-122.4866188,37.7762092,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4785595,90.02120314,9.19E-05,0,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Cabrillo Street')",-122.4864839,37.7743424,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4825589,90.02798322,0.000514874,3.04E-05,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'California Street')",-122.4871669,37.783793,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4805192,90.02332207,0.000143948,0,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Clement Street')",-122.4870318,37.7819245,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4817035,90.02485873,8.52E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Fulton Street')",-122.486349,37.7724761,3,3,2,1,0,0,2,1,0,3,0,3,None,None,22.11563282,90.01342094,0,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 3}","{'secondary': 1, 'residential': 1, 'cycleway': 3}",35,25,35,25,0,3,0,0,3,0
"('27th Avenue', 'Irving Street')",-122.4857166,37.7631935,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4645958,90.03493432,0.00184195,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Judah Street')",-122.4855861,37.7613278,4,4,1,1,2,3,1,1,0,4,0,4,None,None,16.4119391,90.03501788,0.000806568,0,-1,0.559210197,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 2}","{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 3}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Kirkham Street')",-122.4854555,37.7594623,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4645232,90.03009119,1.43E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Lake Street')",-122.4873016,37.7856569,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4787019,90.01993489,0.000893984,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Lawton Street')",-122.4853251,37.757598,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4655754,90.03624651,1.67E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Lincoln Way')",-122.4858483,37.7650748,3,4,2,1,0,0,2,1,0,3,0,4,None,None,161.2797562,90.03450844,0.000262576,0,-1,-1,no,0,0,None,"{'primary': 1, 'residential': 1, 'cycleway': 4}","{'primary': 1, 'residential': 1, 'cycleway': 5}",35,25,35,25,2,1,0,2,2,0
"('27th Avenue', 'Moraga Street')",-122.4851945,37.7557324,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4643923,90.02640486,2.54E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Noriega Street')",-122.4850639,37.7538663,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4627737,90.0253394,7.03E-05,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Ortega Street')",-122.4849334,37.7520003,3,3,1,1,0,0,1,1,0,3,0,3,None,None,160.4640671,90.02110229,0.000963746,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('27th Avenue', 'Quintara Street')",-122.484671,37.7482734,3,3,1,1,0,0,1,1,0,3,0,3,None,None,160.4641373,90.02723914,0.000112226,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('27th Avenue', 'Rivera Street')",-122.4845407,37.7464075,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4646157,90.03433653,8.97E-06,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Santiago Street')",-122.4844103,37.744541,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4622586,90.02128785,8.33E-06,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Seacliff Avenue')",-122.4880722,37.7886897,3,3,1,1,0,0,1,1,0,3,0,3,None,None,161.2842767,116.4220948,0.944694118,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('27th Avenue', 'Taraval Street')",-122.4842802,37.7426778,4,4,1,1,2,2,1,1,0,4,0,4,None,None,160.4627767,90.02871065,0.001459458,0,-1,0.748438817,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6, 'track': 2}","{'tertiary': 1, 'residential': 1, 'cycleway': 6, 'track': 2}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Ulloa Street')",-122.4841499,37.740812,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4641878,90.03317793,1.36E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Avenue', 'Vicente Street')",-122.4840199,37.7389507,3,3,1,1,0,0,1,1,0,3,0,3,None,None,160.4585675,90.00271933,3.86E-06,0,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('27th Street', 'Castro Street', 'Newburg Street')",-122.4337501,37.7464868,4,4,1,1,0,0,1,1,0,4,0,4,None,None,42.55959874,134.2838959,0.345282799,0,-1,-1,no,0,0,None,"{'residential': 3, 'cycleway': 4}","{'residential': 3, 'cycleway': 4}",25,25,25,25,1,3,0,1,3,0
"('27th Street', 'Diamond Street')",-122.435841,37.746373,4,4,1,1,0,0,1,1,0,4,0,4,None,None,161.0806142,90.84047427,0.025729483,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('27th Street', 'Douglass Street')",-122.4380329,37.74625155,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.6884732,90.35885136,0.009603758,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('27th Street', 'Kronquist Court')",-122.434967,37.746435,3,3,1,1,0,0,1,1,0,3,0,3,None,None,160.4452977,90.05774686,0.01659744,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('27th Street', 'Noe Street')",-122.431412,37.74663,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.5521937,104.1794314,3.606379836,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 7}","{'residential': 2, 'cycleway': 7}",25,25,25,25,1,4,0,1,4,0
"('28th Avenue', 'Anza Street')",-122.4878241,37.778027,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4828729,90.01875322,2.09E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Balboa Street')",-122.4876888,37.7761606,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4811761,90.00990437,1.70E-05,0,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Cabrillo Street')",-122.4875534,37.7742938,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4820251,90.0197774,0.000319588,8.06E-06,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'California Street')",-122.4882388,37.7837443,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4850746,90.0238657,0.000188329,0,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Clement Street')",-122.4881033,37.7818758,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4818668,90.01198192,1.54E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Fulton Street')",-122.487418,37.7724273,3,3,2,1,0,0,2,1,0,3,0,3,None,None,160.8766782,90.02256475,1.57E-05,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 4}","{'secondary': 1, 'residential': 1, 'cycleway': 4}",35,25,35,25,0,3,0,0,3,0
"('28th Avenue', 'Irving Street')",-122.4867888,37.7631462,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4654221,90.02754593,2.97E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Judah Street')",-122.486658,37.7612805,4,4,1,1,4,2,1,1,0,4,0,4,None,None,16.4226771,90.1441886,0.000690029,0,-1,0.570311783,no,2,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 4}","{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 2}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Kirkham Street')",-122.4865273,37.759415,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4646776,90.02523703,1.11E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Lake Street')",-122.4882837,37.78540685,4,4,1,1,0,0,1,1,0,4,0,4,None,None,65.05480756,101.7635325,0.599290818,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Lawton Street')",-122.4863966,37.7575506,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4639665,90.03049717,0.000192082,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Lincoln Way')",-122.4869207,37.76502745,3,4,2,1,0,0,2,1,0,3,0,4,None,None,161.2775132,90.02867913,0.00025104,0,-1,-1,no,0,0,None,"{'primary': 1, 'residential': 1, 'cycleway': 4}","{'primary': 1, 'residential': 1, 'cycleway': 5}",35,25,35,25,2,1,0,2,2,0
"('28th Avenue', 'McLaren Avenue')",-122.4884041,37.7862635,3,3,1,1,0,0,1,1,0,3,0,3,None,None,148.6891285,98.98254646,0.425020836,0.107608834,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('28th Avenue', 'Moraga Street')",-122.4862659,37.7556852,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4636874,90.01746006,8.45E-06,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Noriega Street')",-122.4861351,37.7538191,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4643796,90.02199638,6.34E-05,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Ortega Street')",-122.4860043,37.7519531,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4633839,90.02105293,0.000261736,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Pacheco Street')",-122.4858739,37.7500918,3,3,1,1,0,0,1,1,0,3,0,3,None,None,160.4609198,90.02191678,8.95E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('28th Avenue', 'Quintara Street')",-122.4857432,37.7482262,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4641236,90.01905499,0.000117158,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Rivera Street')",-122.4856124,37.7463602,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4646316,90.02494709,1.23E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Santiago Street')",-122.4854816,37.7444939,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4649024,90.02505348,8.35E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Taraval Street')",-122.4853511,37.7426307,4,4,1,1,2,2,1,1,0,4,0,4,None,None,160.4625129,90.01699816,0.001229978,0,-1,0.74843882,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6, 'track': 2}","{'tertiary': 1, 'residential': 1, 'cycleway': 6, 'track': 2}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Ulloa Street')",-122.4852203,37.7407648,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4645655,90.02214677,1.36E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Avenue', 'Vicente Street')",-122.4850899,37.738904,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4606894,90.01313332,1.90E-06,0,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Street', 'Castro Street')",-122.433466,37.744881,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.7547277,91.20234357,0.001809168,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 5}","{'residential': 2, 'cycleway': 5}",25,25,25,25,0,4,0,0,4,0
"('28th Street', 'Diamond Street')",-122.4356712,37.744741,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.5023636,91.3625975,0.009295963,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('28th Street', 'Douglass Street')",-122.4378785,37.7446347,2,2,1,1,0,0,1,1,0,2,0,2,None,None,16.43403033,89.26187357,0.00842508,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 2}","{'residential': 2, 'cycleway': 2}",25,25,25,25,0,2,0,0,2,0
"('28th Street', 'Noe Street')",-122.431256,37.745032,4,4,1,1,0,0,1,1,0,4,0,4,None,None,161.2611819,91.47846764,0.133809727,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Anza Street')",-122.4888978,37.7779781,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4828749,90.02342396,2.54E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Balboa Street')",-122.4887627,37.7761118,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4802396,90.01593806,4.59E-05,0,-1,-1,no,0,0,None,"{'residential': 1, 'tertiary': 1, 'cycleway': 6}","{'residential': 1, 'tertiary': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Cabrillo Street')",-122.4886274,37.7742448,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4837517,90.02588447,5.05E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'California Street')",-122.489312,37.7836956,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4811449,90.02106726,0.00010989,0,-1,-1,no,0,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 6}","{'tertiary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Clement Street')",-122.4891767,37.781827,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4809924,90.01716473,3.06E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Fulton Street')",-122.4884922,37.7723783,3,3,2,1,0,0,2,1,0,3,0,3,None,None,160.8762294,90.026073,0.000109503,0,-1,-1,no,0,0,None,"{'residential': 1, 'secondary': 1, 'cycleway': 4}","{'residential': 1, 'secondary': 1, 'cycleway': 4}",35,25,35,25,0,3,0,0,3,0
"('29th Avenue', 'Irving Street')",-122.4878594,37.7630989,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4648015,90.03308741,2.23E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Judah Street')",-122.4877288,37.7612315,4,4,1,1,3,3,1,1,0,4,0,4,None,None,16.42758622,90.14955049,0.001587905,0,-1,0.38108971,no,1,0,None,"{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 3}","{'tertiary': 1, 'residential': 1, 'cycleway': 4, 'track': 3}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Kirkham Street')",-122.4875985,37.7593677,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4648768,90.03357251,9.56E-06,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Lake Street')",-122.4894135,37.7851012,4,4,1,1,0,0,1,1,0,4,0,4,None,None,16.94157554,95.40063226,0.098461365,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Lawton Street')",-122.4874681,37.7575033,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4660336,90.0377175,0.000188544,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Lincoln Way')",-122.487991,37.76498015,3,4,2,1,0,0,2,1,0,3,0,4,None,None,161.2774415,90.06003301,0.000285582,0,-1,-1,no,0,0,None,"{'residential': 1, 'primary': 1, 'cycleway': 4}","{'residential': 1, 'primary': 1, 'cycleway': 5}",35,25,35,25,2,1,0,2,2,0
"('29th Avenue', 'McLaren Avenue')",-122.4894983,37.7862759,3,3,1,1,0,0,1,1,0,3,0,3,None,None,120.3310266,99.36200456,0.465615838,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('29th Avenue', 'Moraga Street')",-122.4873377,37.755638,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4649005,90.0322885,4.86E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Noriega Street')",-122.4872072,37.7537718,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4644807,90.02953918,0.000120787,0,-1,-1,no,0,0,None,"{'secondary': 1, 'residential': 1, 'cycleway': 6}","{'secondary': 1, 'residential': 1, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Ortega Street')",-122.4870767,37.7519058,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4649759,90.03311855,2.04E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Pacheco Street')",-122.4869466,37.7500445,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4641439,90.02882851,1.52E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Quintara Street')",-122.4868161,37.7481789,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4638306,90.0272695,2.02E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Rivera Street')",-122.4866857,37.7463128,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4649743,90.03431766,4.14E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Santiago Street')",-122.4865552,37.7444465,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.4627385,90.03118423,7.80E-05,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Taraval Street')",-122.4864249,37.7425834,4,4,1,1,2,2,1,1,0,4,0,4,None,None,160.4639433,90.02624704,0.001006281,0,-1,0.74843886,no,0,0,None,"{'residential': 1, 'tertiary': 1, 'cycleway': 6, 'track': 2}","{'residential': 1, 'tertiary': 1, 'cycleway': 6, 'track': 2}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Ulloa Street')",-122.4862945,37.7407174,4,4,1,1,0,0,1,1,0,4,0,4,None,None,16.40892104,90.0319509,0,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,4,0,0,4,0
"('29th Avenue', 'Vicente Street')",-122.4861644,37.7388571,3,3,1,1,0,0,1,1,0,3,0,3,None,None,16.40571059,90.00246116,0,0,-1,-1,no,0,0,None,"{'residential': 1, 'tertiary': 1, 'cycleway': 3}","{'residential': 1, 'tertiary': 1, 'cycleway': 3}",25,25,25,25,0,3,0,0,3,0
"('29th Street', 'Castro Street', 'Day Street')",-122.4333206,37.7433017,5,5,1,1,0,0,1,1,0,5,0,5,None,None,160.7081379,163.2729995,0.513660898,0,-1,-1,no,0,0,None,"{'residential': 3, 'cycleway': 7}","{'residential': 3, 'cycleway': 7}",25,25,25,25,0,5,0,0,5,0
"('29th Street', 'Diamond Street')",-122.4355635,37.7431654,3,3,1,1,0,0,1,1,0,3,0,3,None,None,160.8338633,91.46882104,0.169056733,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('29th Street', 'Noe Street')",-122.4311005,37.7434366,4,4,1,1,0,0,1,1,0,4,0,4,None,None,160.7109161,90.05290287,0.000252177,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 6}","{'residential': 2, 'cycleway': 6}",25,25,25,25,0,4,0,0,4,0
"('29th Street', 'Zircon Place')",-122.4346224,37.7432226,3,3,1,1,0,0,1,1,0,3,0,3,None,None,160.7084369,95.70780898,0.065711898,0,-1,-1,no,0,0,None,"{'residential': 2, 'cycleway': 4}","{'residential': 2, 'cycleway': 4}",25,25,25,25,0,3,0,0,3,0
"('2nd Avenue', 'Anza Street')",-122.492113,37.7778316,1,1,1,1,0,0,1,1,0,1,0,1,None,None,7.160010117,0,0,0,-1,-1,no,0,0,None,"{'residential': 1, 'cycleway': 1}","{'residential': 1, 'cycleway': 1}",25,25,25,25,0,1,0,0,1,0
"('2nd Avenue', 'Balboa Street')",-122.5026903,37.7754772,1,1,1,1,0,0,1,1,0,1,0,1,None,None,160.4869203,0,1.89E-05,1.89E-05,-1,-1,no,0,0,None,"{'tertiary': 1, 'cycleway': 1}","{'tertiary': 1, 'cycleway': 1}",25,25,25,25,0,1,0,0,1,0
"('2nd Avenue', 'Cabrillo Street')",-122.4811316,37.7745861,1,1,1,1,0,0,1,1,0,1,0,1,None,None,160.4828503,0,3.83E-05,3.83E-05,-1,-1,no,0,0,None,"{'residential': 1, 'cycleway': 1}","{'residential': 1, 'cycleway': 1}",25,25,25,25,0,1,0,0,1,0
